abbreviation,id,noteworthy_injuries
ARI,22,"['CB', 'DE', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
ATL,1,"['CB', 'DE', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
BAL,33,"['CB', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
BUF,2,"['CB', 'DE', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
CAR,29,"['CB', 'DE', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
CHI,3,"['CB', 'DE', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
CIN,4,"['C', 'CB', 'DE', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
CLE,5,"['CB', 'DE', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
DAL,6,"['CB', 'DE', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
DEN,7,"['DE', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
DET,8,"['CB', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
GB,9,"['C', 'CB', 'DE', 'DT', 'LB', 'QB', 'RB', 'TE', 'WR']"
HOU,34,"['CB', 'DE', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
IND,11,"['CB', 'DE', 'DT', 'LB', 'RB', 'S', 'TE', 'WR']"
JAX,30,"['C', 'DE', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
KC,12,"['CB', 'DE', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
LAC,24,"['CB', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
LAR,14,"['C', 'DE', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
LV,13,"['CB', 'DE', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
MIA,15,"['CB', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
MIN,16,"['DE', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
NE,17,"['CB', 'DE', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
NO,18,"['C', 'CB', 'DE', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
NYG,19,"['C', 'CB', 'DE', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
NYJ,20,"['CB', 'DE', 'DT', 'LB', 'QB', 'RB', 'TE', 'WR']"
PHI,21,"['C', 'CB', 'DE', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
PIT,23,"['CB', 'DE', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
SEA,26,"['CB', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
SF,25,"['C', 'CB', 'DE', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
TB,27,"['CB', 'DT', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
TEN,10,"['CB', 'DE', 'DT', 'LB', 'P', 'QB', 'RB', 'S', 'TE', 'WR']"
WSH,28,"['CB', 'DE', 'LB', 'QB', 'RB', 'S', 'TE', 'WR']"
